epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.0000,0.0000,1.6116,0.0000,0.0000,0.0000,0.0010000,0,,,
2,0.0000,0.0000,1.7014,0.0000,0.0000,0.0000,0.0010000,0,,,
3,0.0000,0.0000,1.7163,0.0000,0.0000,0.0000,0.0010000,0,,,
4,0.0000,0.0000,1.6778,0.0000,0.0000,0.0000,0.0010000,0,,,
5,0.0000,0.0000,1.6915,0.0000,0.0000,0.0000,0.0010000,0,,,
6,0.0000,0.0000,1.6507,0.0000,0.0000,0.0000,0.0010000,0,,,
7,0.0000,0.0000,1.6664,0.0000,0.0000,0.0000,0.0010000,1,,,
8,0.0000,0.0000,1.5940,0.0000,0.0000,0.0000,0.0010000,1,,,
9,0.0000,0.0000,1.6463,0.0000,0.0000,0.0000,0.0010000,1,,,
10,0.0000,0.0000,1.5977,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
11,0.0000,0.0000,1.6162,0.0000,0.0000,0.0000,0.0010000,1,,,
12,0.0000,0.0000,1.5894,0.0000,0.0000,0.0000,0.0010000,1,,,
13,0.0000,0.0000,1.7136,0.0000,0.0000,0.0000,0.0010000,1,,,
14,0.0000,0.0000,1.6307,0.0000,0.0000,0.0000,0.0010000,1,,,
15,0.0000,0.0000,1.6142,0.0000,0.0000,0.0000,0.0010000,1,,,
16,0.0000,0.0000,1.6064,0.0000,0.0000,0.0000,0.0010000,1,,,
17,0.0000,0.0000,1.6092,0.0000,0.0000,0.0000,0.0010000,1,,,
18,0.0000,0.0000,1.5595,0.0000,0.0000,0.0000,0.0010000,1,,,
19,0.0000,0.0000,1.5210,0.0000,0.0000,0.0000,0.0010000,1,,,
20,0.0000,0.0000,1.5500,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
21,0.0000,0.0000,1.6198,0.0000,0.0000,0.0000,0.0010000,1,,,
22,0.0000,0.0000,1.5968,0.0000,0.0000,0.0000,0.0010000,1,,,
23,0.0000,0.0000,1.5192,0.0000,0.0000,0.0000,0.0010000,1,,,
24,0.0000,0.0000,1.5981,0.0000,0.0000,0.0000,0.0010000,1,,,
25,0.0000,0.0000,1.5857,0.0000,0.0000,0.0000,0.0010000,1,,,
26,0.0000,0.0000,1.6865,0.0000,0.0000,0.0000,0.0010000,1,,,
27,0.0000,0.0000,1.6270,0.0000,0.0000,0.0000,0.0010000,1,,,
28,0.0000,0.0000,1.6691,0.0000,0.0000,0.0000,0.0010000,1,,,
29,0.0000,0.0000,1.5732,0.0000,0.0000,0.0000,0.0010000,1,,,
30,0.0000,0.0000,1.5867,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
31,0.0000,0.0000,1.6544,0.0000,0.0000,0.0000,0.0010000,1,,,
32,0.0000,0.0000,1.6130,0.0000,0.0000,0.0000,0.0010000,1,,,
33,0.0000,0.0000,1.6774,0.0000,0.0000,0.0000,0.0010000,2,,,
34,0.0000,0.0000,1.7082,0.0000,0.0000,0.0000,0.0010000,2,,,
35,0.0000,0.0000,1.6666,0.0000,0.0000,0.0000,0.0010000,2,,,
36,0.0000,0.0000,1.6702,0.0000,0.0000,0.0000,0.0010000,2,,,
37,0.0000,0.0000,1.6848,0.0000,0.0000,0.0000,0.0010000,2,,,
38,0.0000,0.0000,1.6286,0.0000,0.0000,0.0000,0.0010000,2,,,
39,0.0000,0.0000,1.7602,0.0000,0.0000,0.0000,0.0010000,2,,,
40,0.0000,0.0000,1.6247,0.0000,0.0000,0.0000,0.0010000,2,0.0000,0.0000,0.0000
41,0.0000,0.0000,1.7016,0.0000,0.0000,0.0000,0.0010000,2,,,
42,0.0000,0.0000,1.6656,0.0000,0.0000,0.0000,0.0010000,2,,,
43,0.0000,0.0000,1.7055,0.0000,0.0000,0.0000,0.0010000,2,,,
44,0.0000,0.0000,1.5807,0.0000,0.0000,0.0000,0.0010000,2,,,
45,0.0000,0.0000,1.6770,0.0000,0.0000,0.0000,0.0010000,2,,,
46,0.0000,0.0000,1.6107,0.0000,0.0000,0.0000,0.0010000,2,,,
47,0.0000,0.0000,1.6111,0.0000,0.0000,0.0000,0.0010000,2,,,
48,0.0000,0.0000,1.7300,0.0000,0.0000,0.0000,0.0010000,2,,,
49,0.0000,0.0000,1.6749,0.0000,0.0000,0.0000,0.0010000,2,,,
50,0.0000,0.0000,1.7086,0.0000,0.0000,0.0000,0.0010000,2,0.0000,0.0000,0.0000
51,0.0000,0.0000,1.7181,0.0000,0.0000,0.0000,0.0010000,2,,,
52,0.0000,0.0000,1.6586,0.0000,0.0000,0.0000,0.0010000,2,,,
53,0.0000,0.0000,1.7856,0.0000,0.0000,0.0000,0.0010000,2,,,
54,0.0000,0.0000,1.7344,0.0000,0.0000,0.0000,0.0010000,2,,,
55,0.0000,0.0000,1.6958,0.0000,0.0000,0.0000,0.0010000,2,,,
56,0.0000,0.0000,1.6093,0.0000,0.0000,0.0000,0.0010000,2,,,
57,0.0000,0.0000,1.7640,0.0000,0.0000,0.0000,0.0010000,2,,,
58,0.0000,0.0000,1.6597,0.0000,0.0000,0.0000,0.0010000,2,,,
59,0.0000,0.0000,1.7222,0.0000,0.0000,0.0000,0.0010000,2,,,
60,0.0000,0.0000,1.6490,0.0000,0.0000,0.0000,0.0010000,3,0.0000,0.0000,0.0000
61,0.0000,0.0000,1.5464,0.0000,0.0000,0.0000,0.0010000,3,,,
62,0.0000,0.0000,1.7204,0.0000,0.0000,0.0000,0.0010000,3,,,
